sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_001,psep_012,,2/4/1986 9:25,,,,,,,,,,,,2/4/1986 7:35,2/4/1986 7:40,5,-21,-3,X3.0,,TRUE,,,6.27,1.82,,,141000,52200,,,8,2/4/1986 11:40,1409419,,,,0,S,,,,AR from LMSAL-HEK,2/3/1986 21:25,2/4/1986 17:45,0
gsep_002,psep_013,,2/5/1986 17:50,,,,,,,,,,,,2/5/1986 12:37,2/5/1986 12:53,16,-6,-7,M3.0,4711,FALSE,,,6.47,1.35,,,287000,,,,6.81,2/5/1986 23:00,2993083,,,,0,S,,,,AR from LMSAL-HEK,2/5/1986 5:50,2/6/1986 8:35,0
gsep_003,psep_014,,2/6/1986 11:00,,,,,,,,,,,,2/6/1986 6:18,2/6/1986 6:25,7,2,-7,X1.7,4711,FALSE,,130,83.97,14.02,3.22,1.22,3600000,727000,197000,67000,131,2/6/1986 23:00,75689374,,,,1,S,,Spike,,AR from LMSAL-HEK,2/5/1986 23:00,2/7/1986 13:25,1
gsep_004,psep_015,,2/7/1986 13:00,,,,,,,,,,,,2/7/1986 10:11,2/7/1986 10:29,18,21,-11,M5.2,4711,FALSE,,,125.92,25,5.56,1.53,6620000,973000,255000,93900,196,2/7/1986 17:20,122824762,,,,0,S,Taken by 6,,,AR from LMSAL-HEK,2/7/1986 1:00,2/8/1986 22:20,1
gsep_005,psep_016,,2/10/1986 21:00,,,,,,,,,,,,2/10/1986 20:25,2/10/1986 20:48,23,32,-1,C9.5,4713,FALSE,,,5.14,1.87,0.76,0.35,271000,111000,53500,27100,5.62,2/10/1986 22:50,2668215,,,,0,S,,Spike,,AR from LMSAL-HEK,2/10/1986 9:00,2/12/1986 6:00,0
gsep_006,psep_017,,2/14/1986 14:20,,,,,,,,,,,,2/14/1986 9:10,2/14/1986 9:21,11,76,1,M6.4,4713,FALSE,,130,166.57,17.62,3.64,1.09,12600000,1390000,371000,150000,287,2/14/1986 21:10,229035940,,,,1,S,,Spike,,AR from LMSAL-HEK,2/14/1986 2:20,2/16/1986 12:35,1
gsep_006_1,,,2/17/1986 2:20,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,15.7,2/17/1986 5:55,8270280,,,,0,S,,,,,2/16/1986 14:20,2/17/1986 21:50,1
gsep_007,psep_018,,3/6/1986 18:25,,,,,,,,,,,,3/6/1986 16:37,3/6/1986 17:02,25,-1,2,C4.6,4717,FALSE,,21,19.38,2.49,0.76,,412000,111000,55500,,32.1,3/6/1986 18:45,3712043,,,,1,S,,Brief data gap,,AR from LMSAL-HEK,3/6/1986 6:25,3/7/1986 0:05,1
gsep_008,psep_019,,5/4/1986 13:00,,,,,,,,,,,,5/4/1986 9:39,5/4/1986 10:07,28,90,9,M1.2,4727,FALSE,,16,13.1,3.17,1.14,0.49,578000,236000,118000,61400,18.8,5/4/1986 15:10,3422401,,,,1,S,,,,AR from LMSAL-HEK; Flare location from Kurt et al. (2004),5/4/1986 1:00,5/4/1986 19:45,1
gsep_008_1,,,5/29/1987 17:25,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,0.953,5/29/1987 20:45,159445,,,,0,P,,,,Behind Western Limb; Prominence eruption,5/29/1987 5:25,5/30/1987 2:45,0
gsep_009,psep_020,,11/8/1987 7:50,,,,,,,,,,,,11/7/1987 20:28,11/7/1987 20:30,2,90,31,M1.2,4875,FALSE,,120,78.11,3.94,,,2450000,311000,,,41,11/8/1987 9:40,6569070,,,,1,P,,,,AR from LMSAL-HEK,11/7/1987 19:50,11/8/1987 18:55,1
gsep_010,psep_021,,12/30/1987 2:15,,,,,,,,,,,,12/30/1987 1:42,12/30/1987 1:49,7,-32,-36,C4.1,4912,FALSE,,,7.34,,,,587000,,,,2.55,12/31/1987 6:00,1836927,,,,0,P,,,,AR from LMSAL-HEK,12/29/1987 14:15,1/1/1988 0:00,0
gsep_011,psep_022,,1/3/1988 3:55,,,,,,,,,,,,1/2/1988 21:11,1/2/1988 21:35,24,18,-34,X1.4,4912,FALSE,,92,64.64,4.65,0.89,,6220000,566000,208000,,32.4,1/3/1988 7:30,32438533,,,,1,P,,Spike,,AR from LMSAL-HEK; Data corrected for spike,1/2/1988 15:55,1/5/1988 17:40,1
gsep_012,psep_023,,3/25/1988 22:50,,,,,,,,,,,,3/25/1988 21:41,3/25/1988 21:54,13,90,22,C4.5,,TRUE,,58,25.09,5.03,1.66,0.75,467000,163000,86000,49300,33.2,3/25/1988 23:10,3083825,,,,1,P,,Brief data gap,,No flare according to Kurt et al. (2004),3/25/1988 10:50,3/26/1988 4:00,1
