sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,cme_lf_interval
gsep_136,1997-11-04 05:11:00,1997-11-04 06:10:00,360.0,360.0,785.0,785.0,54.49,59.0
gsep_137,1997-11-06 11:30:00,1997-11-06 12:10:00,360.0,360.0,1556.0,1556.0,437.32,40.0
gsep_138,1998-04-20 09:49:00,1998-04-20 10:07:00,243.0,150.0,1863.0,1863.0,1212.01,18.0
gsep_139,1998-04-29 16:22:00,1998-04-29 16:58:00,360.0,360.0,1374.0,1374.0,3.58,36.0
gsep_140,1998-05-02 13:07:00,1998-05-02 14:06:00,360.0,360.0,938.0,938.0,121.9,59.0
gsep_141,1998-05-06 07:49:00,1998-05-06 08:29:00,190.0,248.0,1099.0,792.0,173.59,40.0
gsep_142,1998-05-09 03:20:00,1998-05-09 03:35:00,178.0,178.0,2331.0,2331.0,10.49,15.0
gsep_143,1998-06-16 17:50:00,1998-06-16 18:27:00,281.0,100.0,1484.0,1484.0,3.38,37.0
gsep_149,1998-11-05 20:00:00,1998-11-05 20:44:00,360.0,360.0,1118.0,1118.0,9.65,44.0
gsep_153,1999-04-24 12:54:00,1999-04-24 13:31:00,360.0,360.0,1495.0,1495.0,24.2,37.0
gsep_154,1999-05-03 05:43:00,1999-05-03 06:06:00,360.0,360.0,1584.0,1584.0,11.56,23.0
gsep_155,1999-05-27 10:32:00,1999-05-27 11:06:00,360.0,360.0,1691.0,1691.0,8.18,34.0
gsep_156,1999-06-01 18:26:00,1999-06-01 19:37:00,360.0,360.0,1772.0,1772.0,36.79,71.0
gsep_157,1999-06-04 06:38:00,1999-06-04 07:26:00,150.0,150.0,2230.0,2230.0,46.24,48.0
gsep_158,2000-02-17 19:51:00,2000-02-18 21:54:00,118.0,118.0,890.0,890.0,10.79,1563.0
gsep_159,2000-04-04 14:42:00,2000-04-04 16:32:00,360.0,360.0,1188.0,1188.0,39.25,110.0
gsep_160,2000-05-15 15:36:00,2000-05-15 16:26:00,165.0,165.0,1212.0,1212.0,2.38,50.0
gsep_161,2000-06-06 15:11:00,2000-06-06 15:54:00,360.0,360.0,1119.0,1119.0,60.14,43.0
gsep_162,2000-06-10 16:34:00,2000-06-10 17:08:00,360.0,360.0,1108.0,1108.0,35.26,34.0
