sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fl_goes_class,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_start_time,fl_peak_time,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_136,1997-11-04 05:11:00,1997-11-04 06:10:00,360.0,360.0,785.0,785.0,54.49,6.0,33.0,-14.0,X2.1,2630000.0,24553809,67.1,59.0,1997-11-04 05:52:00,1997-11-04 05:58:00,41.0,47.0,0.00021
gsep_137,1997-11-06 11:30:00,1997-11-06 12:10:00,360.0,360.0,1556.0,1556.0,437.32,6.0,63.0,-18.0,X9.4,33200000.0,418249780,532.0,40.0,1997-11-06 11:49:00,1997-11-06 11:55:00,19.0,25.0,0.0009400000000000001
gsep_138,1998-04-20 09:49:00,1998-04-20 10:07:00,243.0,150.0,1863.0,1863.0,1212.01,43.0,119.0,-17.0,M1.4,97400000.0,1557756330,1610.0,18.0,1998-04-20 09:38:00,1998-04-20 10:21:00,-11.0,32.0,1.4e-05
gsep_139,1998-04-29 16:22:00,1998-04-29 16:58:00,360.0,360.0,1374.0,1374.0,3.58,31.0,-20.0,-18.0,M6.8,570000.0,2092392,2.51,36.0,1998-04-29 16:06:00,1998-04-29 16:37:00,-16.0,15.0,6.8e-05
gsep_140,1998-05-02 13:07:00,1998-05-02 14:06:00,360.0,360.0,938.0,938.0,121.9,11.0,15.0,-15.0,X1.1,4540000.0,38232894,149.0,59.0,1998-05-02 13:31:00,1998-05-02 13:42:00,24.0,35.0,0.00011000000000000002
gsep_141,1998-05-06 07:49:00,1998-05-06 08:29:00,190.0,248.0,1099.0,792.0,173.59,11.0,65.0,-11.0,X2.7,2760000.0,23505019,239.0,40.0,1998-05-06 07:58:00,1998-05-06 08:09:00,9.0,20.0,0.00027000000000000006
gsep_142,1998-05-09 03:20:00,1998-05-09 03:35:00,178.0,178.0,2331.0,2331.0,10.49,36.0,102.0,-11.0,M7.7,902000.0,3550917,12.3,15.0,1998-05-09 03:04:00,1998-05-09 03:40:00,-16.0,20.0,7.7e-05
gsep_143,1998-06-16 17:50:00,1998-06-16 18:27:00,281.0,100.0,1484.0,1484.0,3.38,39.0,115.0,17.0,M1.0,748000.0,2082733,2.21,37.0,1998-06-16 18:03:00,1998-06-16 18:42:00,13.0,52.0,1e-05
gsep_149,1998-11-05 20:00:00,1998-11-05 20:44:00,360.0,360.0,1118.0,1118.0,9.65,55.0,18.0,22.0,M8.4,967000.0,3308038,9.55,44.0,1998-11-05 19:00:00,1998-11-05 19:55:00,-60.0,-5.0,8.400000000000001e-05
gsep_154,1999-05-03 05:43:00,1999-05-03 06:06:00,360.0,360.0,1584.0,1584.0,11.56,26.0,-32.0,15.0,M4.4,1390000.0,9077513,14.0,23.0,1999-05-03 05:36:00,1999-05-03 06:02:00,-7.0,19.0,4.4000000000000006e-05
gsep_157,1999-06-04 06:38:00,1999-06-04 07:26:00,150.0,150.0,2230.0,2230.0,46.24,11.0,69.0,17.0,M3.9,3360000.0,41982523,64.0,48.0,1999-06-04 06:52:00,1999-06-04 07:03:00,14.0,25.0,3.9e-05
gsep_159,2000-04-04 14:42:00,2000-04-04 16:32:00,360.0,360.0,1188.0,1188.0,39.25,29.0,66.0,16.0,C9.7,2330000.0,31786119,55.8,110.0,2000-04-04 15:12:00,2000-04-04 15:41:00,30.0,59.0,9.699999999999999e-06
gsep_160,2000-05-15 15:36:00,2000-05-15 16:26:00,165.0,165.0,1212.0,1212.0,2.38,15.0,67.0,-24.0,C7.8,239000.0,974164,1.86,50.0,2000-05-15 15:46:00,2000-05-15 16:01:00,10.0,25.0,7.8e-06
gsep_161,2000-06-06 15:11:00,2000-06-06 15:54:00,360.0,360.0,1119.0,1119.0,60.14,27.0,-18.0,20.0,X2.3,3760000.0,58689186,84.3,43.0,2000-06-06 14:58:00,2000-06-06 15:25:00,-13.0,14.0,0.00022999999999999998
gsep_162,2000-06-10 16:34:00,2000-06-10 17:08:00,360.0,360.0,1108.0,1108.0,35.26,22.0,38.0,22.0,M5.2,1530000.0,19916290,46.0,34.0,2000-06-10 16:40:00,2000-06-10 17:02:00,6.0,28.0,5.2000000000000004e-05
gsep_163,2000-06-25 07:34:00,2000-06-25 07:54:00,165.0,165.0,1617.0,1617.0,4.3,35.0,55.0,16.0,M1.9,553000.0,1834967,4.57,20.0,2000-06-25 07:17:00,2000-06-25 07:52:00,-17.0,18.0,1.9e-05
gsep_164,2000-07-12 19:44:00,2000-07-12 20:30:00,101.0,101.0,820.0,820.0,7.32,8.0,64.0,16.0,M5.7,327000.0,2046490,8.61,46.0,2000-07-12 18:41:00,2000-07-12 18:49:00,-63.0,-55.0,5.7e-05
gsep_165,2000-07-14 10:17:00,2000-07-14 10:54:00,360.0,360.0,1674.0,1674.0,18133.72,21.0,7.0,22.0,X5.7,39600000.0,16094070911,24000.0,37.0,2000-07-14 10:03:00,2000-07-14 10:24:00,-14.0,7.0,0.0005700000000000001
gsep_166,2000-07-22 11:10:00,2000-07-22 11:54:00,229.0,259.0,1230.0,1230.0,14.07,17.0,56.0,14.0,M3.7,629000.0,6391357,17.6,44.0,2000-07-22 11:17:00,2000-07-22 11:34:00,7.0,24.0,3.7000000000000005e-05
gsep_167,2000-07-27 19:03:00,2000-07-27 19:54:00,360.0,360.0,905.0,905.0,15.71,5.0,78.0,11.0,M1.2,615000.0,2105955,18.5,51.0,2000-07-27 23:37:00,2000-07-27 23:42:00,274.0,279.0,1.2e-05
gsep_169,2000-08-12 14:45:00,2000-08-12 15:54:00,117.0,117.0,499.0,499.0,4.34,11.0,79.0,16.0,M1.1,274000.0,984452,4.92,69.0,2000-08-12 09:45:00,2000-08-12 09:56:00,-300.0,-289.0,1.1000000000000001e-05
gsep_170,2000-09-12 11:37:00,2000-09-12 11:54:00,360.0,360.0,1550.0,1550.0,222.17,42.0,9.0,-17.0,M1.0,15700000.0,221092662,321.0,17.0,2000-09-12 11:31:00,2000-09-12 12:13:00,-6.0,36.0,1e-05
gsep_171,2000-10-16 06:40:00,2000-10-16 07:27:00,360.0,360.0,1336.0,1336.0,12.05,48.0,107.0,4.0,M2.5,1340000.0,12047581,15.1,47.0,2000-10-16 06:40:00,2000-10-16 07:28:00,0.0,48.0,2.5e-05
gsep_174,2000-11-08 22:42:00,2000-11-08 23:06:00,170.0,170.0,1738.0,1738.0,10989.65,46.0,77.0,10.0,M7.4,708000000.0,10493134599,14800.0,24.0,2000-11-08 22:42:00,2000-11-08 23:28:00,0.0,46.0,7.400000000000001e-05
gsep_175,2000-11-24 05:01:00,2000-11-24 05:30:00,360.0,360.0,1289.0,1289.0,10.19,7.0,5.0,23.0,X2.0,194000.0,2320418,12.1,29.0,2000-11-24 04:55:00,2000-11-24 05:02:00,-6.0,1.0,0.0002
gsep_176,2000-11-24 14:59:00,2000-11-24 15:30:00,360.0,360.0,1245.0,1245.0,68.85,22.0,7.0,22.0,X2.3,2550000.0,31282836,94.0,31.0,2000-11-24 14:51:00,2000-11-24 15:13:00,-8.0,14.0,0.00022999999999999998
gsep_177,2000-11-25 01:04:00,2000-11-25 01:31:00,360.0,360.0,2519.0,2519.0,669.89,32.0,-50.0,7.0,M8.2,23900000.0,400987357,942.0,27.0,2000-11-25 00:59:00,2000-11-25 01:31:00,-5.0,27.0,8.2e-05
gsep_178,2001-01-21 18:49:00,2001-01-20 21:30:00,360.0,360.0,1507.0,1507.0,3.42,14.0,-46.0,-7.0,M7.7,563000.0,3217479,3.17,-1279.0,2001-01-20 21:06:00,2001-01-20 21:20:00,-1303.0,-1289.0,7.7e-05
gsep_179,2001-01-28 15:51:00,2001-01-28 15:54:00,360.0,360.0,916.0,916.0,36.73,20.0,59.0,-4.0,M1.5,2360000.0,32030673,48.9,3.0,2001-01-28 15:40:00,2001-01-28 16:00:00,-11.0,9.0,1.5000000000000002e-05
gsep_181,2001-03-29 09:40:00,2001-03-29 10:26:00,360.0,360.0,942.0,942.0,26.65,18.0,19.0,20.0,X1.7,2750000.0,41077329,35.4,46.0,2001-03-29 09:57:00,2001-03-29 10:15:00,17.0,35.0,0.00017
gsep_182,2001-04-02 10:58:00,2001-04-02 11:26:00,80.0,50.0,992.0,992.0,832.63,38.0,62.0,17.0,X1.1,39300000.0,1302678,4.16,28.0,2001-04-02 10:58:00,2001-04-02 11:36:00,0.0,38.0,0.00011000000000000002
gsep_183,2001-04-02 21:38:00,2001-04-02 22:06:00,244.0,100.0,2505.0,2505.0,832.63,19.0,78.0,17.0,X20,38100000.0,617818700,1110.0,28.0,2001-04-02 21:32:00,2001-04-02 21:51:00,-6.0,13.0,0.002
gsep_184,2001-04-09 15:22:00,2001-04-09 15:54:00,360.0,360.0,1192.0,1192.0,5.99,14.0,4.0,-21.0,M7.9,252000.0,2643888,5.89,32.0,2001-04-09 15:20:00,2001-04-09 15:34:00,-2.0,12.0,7.900000000000001e-05
gsep_185,2001-04-10 05:16:00,2001-04-10 05:30:00,360.0,360.0,2411.0,2411.0,249.42,20.0,9.0,-23.0,X2.3,13700000.0,233110573,355.0,14.0,2001-04-10 05:06:00,2001-04-10 05:26:00,-10.0,10.0,0.00022999999999999998
gsep_186,2001-04-12 10:01:00,2001-04-12 10:31:00,360.0,360.0,1184.0,1184.0,41.31,49.0,43.0,-19.0,X2.0,2430000.0,25368863,50.5,30.0,2001-04-12 09:39:00,2001-04-12 10:28:00,-22.0,27.0,0.0002
gsep_187,2001-04-15 13:22:00,2001-04-15 14:06:00,167.0,167.0,1199.0,1199.0,825.07,31.0,85.0,-20.0,X14.4,36100000.0,491740052,951.0,44.0,2001-04-15 13:19:00,2001-04-15 13:50:00,-3.0,28.0,0.00144
