time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2000-06-24 23:35:00,5.93,5.93,0.258,0.24,0.0935,0.0611,0.052,0.0134
2000-06-24 23:40:00,6.76,6.76,0.253,0.0551,0.0323,0.0252,0.0233,0.0128
2000-06-24 23:45:00,1.38,1.38,0.413,0.297,0.131,0.0667,0.0423,0.0133
2000-06-24 23:50:00,7.38,7.38,0.118,0.1,0.0494,0.0424,0.0404,0.0299
2000-06-24 23:55:00,1.99,1.99,0.13,0.112,0.0401,0.033,0.0311,0.0206
2000-06-25 00:00:00,6.76,6.76,0.332,0.177,0.0471,0.04,0.038,0.0175
2000-06-25 00:05:00,3.55,3.55,0.405,0.165,0.0347,0.0276,0.0256,0.0151
2000-06-25 00:10:00,1.85,1.85,0.241,0.117,0.0323,0.0252,0.0233,0.0128
2000-06-25 00:15:00,10.1,10.1,0.138,0.0556,0.0323,0.0252,0.0233,0.0128
2000-06-25 00:20:00,2.86,2.86,0.141,0.0701,0.0467,0.0388,0.0366,0.0261
2000-06-25 00:25:00,5.24,5.24,0.207,0.19,0.164,0.0735,0.0441,0.0134
2000-06-25 00:30:00,1.02,1.02,0.525,0.364,0.249,0.114,0.0594,0.0134
2000-06-25 00:35:00,4.09,4.09,0.18,0.11,0.0851,0.0553,0.0501,0.0396
2000-06-25 00:40:00,1.82,1.82,0.102,0.0843,0.0611,0.0317,0.0235,0.0128
2000-06-25 00:45:00,2.65,2.65,0.402,0.322,0.132,0.0689,0.0447,0.015
2000-06-25 00:50:00,2.62,2.62,0.161,0.0893,0.0652,0.0326,0.0236,0.0128
2000-06-25 00:55:00,5.58,5.58,0.114,0.0964,0.074,0.0668,0.0649,0.0261
2000-06-25 01:00:00,2.65,2.65,0.424,0.244,0.144,0.137,0.135,0.0869
2000-06-25 01:05:00,6.52,6.52,0.103,0.0859,0.0347,0.0276,0.0256,0.0151
2000-06-25 01:10:00,2.36,2.36,0.455,0.228,0.0867,0.0605,0.0532,0.0425
2000-06-25 01:15:00,3.45,3.45,0.141,0.124,0.0569,0.0499,0.0479,0.0134
2000-06-25 01:20:00,8.73,8.73,0.32,0.2,0.0611,0.0317,0.0235,0.0128
2000-06-25 01:25:00,4.56,4.56,0.207,0.0766,0.0536,0.0465,0.0445,0.034
2000-06-25 01:30:00,0.944,0.944,0.125,0.108,0.0578,0.0507,0.0488,0.0382
2000-06-25 01:35:00,7.29,7.29,0.0841,0.0665,0.0442,0.0371,0.0351,0.0246
2000-06-25 01:40:00,6.81,6.81,0.152,0.0701,0.0468,0.0397,0.0377,0.0273
2000-06-25 01:45:00,0.133,0.133,0.118,0.1,0.078,0.0708,0.0689,0.0583
2000-06-25 01:50:00,3.75,3.75,0.16,0.0895,0.0661,0.0543,0.0511,0.0405
2000-06-25 01:55:00,2.48,2.48,0.28,0.106,0.0826,0.0553,0.0478,0.037
2000-06-25 02:00:00,1.13,1.13,0.458,0.262,0.0703,0.0366,0.03,0.0165
2000-06-25 02:05:00,4.92,4.92,0.417,0.128,0.0471,0.04,0.038,0.0175
2000-06-25 02:10:00,3.17,3.17,0.423,0.186,0.0566,0.0495,0.0475,0.037
2000-06-25 02:15:00,1.56,1.56,0.241,0.123,0.0456,0.0385,0.0365,0.0261
